Scenario,Watershed,SubArea,Year,Precipitation,Temperature,Soil moisture,ET,Groundwater recharge,Runoff,TSS Yield,DN Yield,PN Yield,TN Yield,DP Yield,PP Yield,TP Yield,Soil carbon,Biodiversity
Conventional,Sample watershed,6,2007,722.95,4.71,282.17,579.2,20.78,122.97,0.81,5.94,4.26,10.2,0.58,1.13,1.72,68.25,0.53
Conventional,Sample watershed,7,2007,722.95,4.71,287.7,585.06,20.78,117.11,1.21,8.49,5.89,14.38,0.82,1.67,2.49,89.86,0.54
Conventional,Sample watershed,8,2007,722.95,4.71,279.41,584.51,20.16,118.28,0,0.04,0.02,0.06,0,0.01,0.01,0.43,0.58
Conventional,Sample watershed,9,2007,722.95,4.71,271.11,591.75,19.95,111.25,2.13,15.27,10.7,25.97,1.48,2.94,4.42,166.58,0.57
Conventional,Sample watershed,10,2007,722.95,4.71,261.42,575.8,18.33,128.82,0.15,1.05,0.75,1.8,0.1,0.21,0.31,10.86,0.57
Conventional,Sample watershed,11,2007,722.95,4.71,236.53,575.05,19.08,128.82,3.14,21.82,15.6,37.42,2.15,4.04,6.19,220.81,0.57
Conventional,Sample watershed,12,2007,722.95,4.71,253.95,569.11,18.52,135.33,3.05,23.15,15.3,38.44,2.22,4.17,6.38,234.27,0.58
Conventional,Sample watershed,13,2007,722.95,4.71,239.02,578.59,18.14,126.22,0.69,5.35,3.71,9.06,0.5,1.03,1.53,51.49,0.58
Conventional,Sample watershed,14,2007,722.95,4.71,244,575.99,18.14,128.82,7.95,61.67,39.53,101.21,5.96,11.2,17.16,630.26,0.56
Conventional,Sample watershed,15,2007,722.95,4.71,248.98,568.18,18.14,136.63,1.61,12.09,8.07,20.16,1.17,2.31,3.48,114,0.54
Conventional,Sample watershed,16,2007,722.95,4.71,258.93,578.78,17.96,126.22,0.25,1.86,1.26,3.12,0.16,0.33,0.49,18.45,0.53
Conventional,Sample watershed,17,2007,722.95,4.71,64.11,197.64,4.82,520.49,0.34,2.36,1.61,3.97,0.23,0.47,0.7,6.4,0.57
Conventional,Sample watershed,18,2007,722.95,4.71,61.62,208.29,4.58,510.08,0.06,0.46,0.31,0.77,0.04,0.08,0.12,1.13,0.58
Conventional,Sample watershed,19,2007,722.95,4.71,287.7,587.74,21.61,113.6,1.49,10.1,7.38,17.48,0.98,2.01,2.99,124.37,0.54
Conventional,Sample watershed,20,2007,722.95,4.71,271.11,586.98,21.2,114.77,0.01,0.1,0.07,0.17,0.01,0.02,0.03,1.21,0.57
Conventional,Sample watershed,21,2007,722.95,4.71,265.57,589.61,19.74,113.6,4.33,29.19,19.26,48.45,2.97,5.86,8.82,331.61,0.57
Conventional,Sample watershed,22,2007,722.95,4.71,290.47,579.33,21.82,121.79,2.68,21.01,13.05,34.06,2.01,3.93,5.94,240.83,0.58
Conventional,Sample watershed,23,2007,722.95,4.71,284.94,585.81,21.2,115.94,0.35,2.58,1.79,4.37,0.24,0.48,0.72,29.29,0.54
Conventional,Sample watershed,24,2007,722.95,4.71,279.41,586.44,20.57,115.94,0.11,0.8,0.54,1.34,0.08,0.15,0.22,8.7,0.58
Conventional,Sample watershed,25,2007,722.95,4.71,265.57,586.02,20.99,115.94,1.14,8.72,5.99,14.71,0.83,1.7,2.53,99.97,0.53
Conventional,Sample watershed,26,2007,722.95,4.71,253.95,568.18,18.14,136.63,0.66,4.76,3.3,8.06,0.47,0.88,1.35,50.05,0.54
Conventional,Sample watershed,27,2007,722.95,4.71,261.42,572.82,18.7,131.42,1.11,8.62,5.53,14.14,0.79,1.55,2.34,79.67,0.54
Conventional,Sample watershed,28,2007,722.95,4.71,256.44,581.57,17.77,123.62,3.37,25.11,16.75,41.87,2.5,4.75,7.24,246.64,0.54
Conventional,Sample watershed,29,2007,722.95,4.71,248.98,580.63,18.7,123.62,3.27,22.27,16.25,38.52,2.2,4.65,6.85,241.83,0.53
Conventional,Sample watershed,1,2008,507.82,6.5,124.07,435.07,9.22,63.52,1.28,9.05,6.04,15.08,0.85,1.68,2.53,167.55,0.58
Conventional,Sample watershed,2,2008,507.82,6.5,125.33,429.78,9.22,68.81,0.18,1.29,0.87,2.16,0.12,0.25,0.37,25.15,0.56
Conventional,Sample watershed,3,2008,507.82,6.5,144.89,439.76,10.88,57.17,0.33,2.47,1.6,4.07,0.23,0.47,0.7,52.89,0.58
Conventional,Sample watershed,4,2008,507.82,6.5,147.7,436.34,10.14,61.34,1.38,10.01,6.94,16.96,0.92,1.8,2.72,216.53,0.56
Conventional,Sample watershed,5,2008,507.82,6.5,140.67,437.42,10.25,60.14,1.86,12.31,8.55,20.86,1.17,2.54,3.71,268.96,0.54
Conventional,Sample watershed,6,2008,507.82,6.5,140.67,436.58,11.1,60.14,0.45,3.15,2.12,5.27,0.31,0.58,0.88,67.42,0.53
Conventional,Sample watershed,7,2008,507.82,6.5,147.7,435.98,11.1,60.74,0.59,4.32,2.88,7.2,0.41,0.82,1.23,92.45,0.54
Conventional,Sample watershed,8,2008,507.82,6.5,133.63,436.12,10.36,61.34,0,0.02,0.01,0.03,0,0,0.01,0.43,0.56
Conventional,Sample watershed,9,2008,507.82,6.5,144.89,434.3,10.99,62.53,1.08,7.53,5.13,12.66,0.73,1.56,2.28,171.29,0.53
Conventional,Sample watershed,10,2008,507.82,6.5,127.87,433.56,9.42,64.84,0.07,0.53,0.39,0.92,0.05,0.11,0.16,10.62,0.53
Conventional,Sample watershed,11,2008,507.82,6.5,132.93,432.52,9.13,66.17,1.57,11.77,7.7,19.48,1.06,2.2,3.27,224.74,0.58
Conventional,Sample watershed,12,2008,507.82,6.5,120.27,431.85,9.8,66.17,1.49,11.43,7.55,18.99,1.02,2.05,3.07,229.09,0.57
Conventional,Sample watershed,13,2008,507.82,6.5,125.33,434.41,9.22,64.18,0.35,2.56,1.8,4.36,0.26,0.51,0.77,53.98,0.53
Conventional,Sample watershed,14,2008,507.82,6.5,124.07,431.95,9.7,66.17,4.17,29.23,20.31,49.54,2.8,5.64,8.43,568.91,0.54
Conventional,Sample watershed,15,2008,507.82,6.5,121.54,430.53,9.8,67.49,0.8,5.91,3.9,9.81,0.58,1.13,1.71,117.35,0.58
Conventional,Sample watershed,16,2008,507.82,6.5,125.33,429.68,9.32,68.81,0.12,0.87,0.59,1.46,0.08,0.17,0.26,16.8,0.53
Conventional,Sample watershed,17,2008,507.82,6.5,32.28,230.26,2.31,275.25,0.18,1.16,0.83,1.99,0.11,0.25,0.36,5.72,0.53
Conventional,Sample watershed,18,2008,507.82,6.5,30.38,243.49,2.31,262.01,0.03,0.22,0.15,0.37,0.02,0.05,0.07,1.06,0.57
Conventional,Sample watershed,19,2008,507.82,6.5,147.7,439.87,10.78,57.17,0.78,5.57,3.61,9.18,0.51,1.06,1.57,113.43,0.58
Conventional,Sample watershed,20,2008,507.82,6.5,147.7,438.78,10.67,58.36,0.01,0.05,0.03,0.08,0.01,0.01,0.02,1.09,0.54
Conventional,Sample watershed,21,2008,507.82,6.5,135.04,437.87,10.99,58.95,2.14,15.45,10.41,25.86,1.39,2.95,4.34,324.27,0.53
Conventional,Sample watershed,22,2008,507.82,6.5,143.48,437.04,10.04,60.74,1.43,10.27,7.34,17.6,0.99,1.9,2.89,233.26,0.53
Conventional,Sample watershed,23,2008,507.82,6.5,136.45,437.59,10.67,59.55,0.18,1.35,0.83,2.18,0.12,0.26,0.37,28.09,0.57
Conventional,Sample watershed,24,2008,507.82,6.5,140.67,439.91,10.14,57.76,0.05,0.42,0.26,0.69,0.04,0.08,0.11,9.11,0.54
Conventional,Sample watershed,25,2008,507.82,6.5,144.89,436.34,10.14,61.34,0.6,4.09,2.81,6.9,0.39,0.79,1.18,97.76,0.56
Conventional,Sample watershed,26,2008,507.82,6.5,121.54,433.37,9.61,64.84,0.35,2.37,1.6,3.97,0.22,0.47,0.69,44.28,0.57
Conventional,Sample watershed,27,2008,507.82,6.5,124.07,431.86,9.13,66.83,0.58,4,2.78,6.78,0.42,0.79,1.21,81.18,0.57
Conventional,Sample watershed,28,2008,507.82,6.5,132.93,429.49,9.51,68.81,1.71,13.15,8.86,22.01,1.25,2.41,3.66,246.1,0.55
Conventional,Sample watershed,29,2008,507.82,6.5,129.13,429.49,9.51,68.81,1.71,11.32,8.11,19.43,1.07,2.16,3.23,238.77,0.56
Conventional,Sample watershed,1,2009,556.75,6.3,150.47,468.73,10.87,77.14,1.31,9.64,6.77,16.41,0.95,1.86,2.81,162.91,0.53
Conventional,Sample watershed,2,2009,556.75,6.3,144.74,467.98,10.87,77.89,0.19,1.42,0.95,2.37,0.14,0.29,0.43,24.47,0.53
Conventional,Sample watershed,3,2009,556.75,6.3,152.86,480.99,11.72,64.04,0.4,2.82,1.87,4.69,0.26,0.51,0.77,51.44,0.57
Conventional,Sample watershed,4,2009,556.75,6.3,159.23,480.75,11.96,64.04,1.49,11.56,7.86,19.42,1.06,2.06,3.12,219.31,0.56
Conventional,Sample watershed,5,2009,556.75,6.3,160.82,476.71,11.96,68.08,2.11,13.79,9.88,23.66,1.43,2.69,4.12,272.56,0.57
Conventional,Sample watershed,6,2009,556.75,6.3,156.05,480.87,11.84,64.04,0.47,3.67,2.4,6.07,0.35,0.68,1.04,66.26,0.58
Conventional,Sample watershed,7,2009,556.75,6.3,152.86,479.09,11.6,66.06,0.66,4.84,3.1,7.94,0.48,0.91,1.4,96.4,0.57
Conventional,Sample watershed,8,2009,556.75,6.3,159.23,476.23,12.44,68.08,0,0.02,0.01,0.04,0,0,0.01,0.41,0.53
Conventional,Sample watershed,9,2009,556.75,6.3,151.27,478.05,11.96,66.73,1.23,8.97,6.22,15.18,0.87,1.63,2.49,165.08,0.58
Conventional,Sample watershed,10,2009,556.75,6.3,146.17,467.66,10.44,78.64,0.09,0.66,0.41,1.07,0.06,0.12,0.18,11.31,0.56
Conventional,Sample watershed,11,2009,556.75,6.3,150.47,470.88,10.23,75.65,1.83,12.94,8.46,21.4,1.24,2.54,3.78,221,0.54
Conventional,Sample watershed,12,2009,556.75,6.3,147.61,468.52,11.09,77.14,1.68,13.07,8.98,22.05,1.17,2.3,3.47,218.84,0.56
Conventional,Sample watershed,13,2009,556.75,6.3,139.01,471.94,10.66,74.15,0.42,2.9,2.12,5.01,0.28,0.55,0.83,53.1,0.54
Conventional,Sample watershed,14,2009,556.75,6.3,143.31,471.63,10.23,74.9,4.53,34.12,23.92,58.04,3.27,6.51,9.78,582.53,0.58
Conventional,Sample watershed,15,2009,556.75,6.3,139.01,474.29,11.3,71.15,0.91,7.03,4.46,11.49,0.62,1.35,1.98,118.88,0.57
Conventional,Sample watershed,16,2009,556.75,6.3,141.88,473.66,10.44,72.65,0.14,1.02,0.69,1.71,0.1,0.19,0.29,18.27,0.54
Conventional,Sample watershed,17,2009,556.75,6.3,35.83,263.37,2.77,290.6,0.18,1.46,0.97,2.43,0.14,0.26,0.4,6.28,0.54
Conventional,Sample watershed,18,2009,556.75,6.3,36.54,269.39,2.75,284.61,0.04,0.25,0.18,0.43,0.03,0.05,0.08,1.08,0.54
Conventional,Sample watershed,19,2009,556.75,6.3,159.23,474.21,12.44,70.1,0.87,5.94,3.92,9.85,0.6,1.13,1.73,114.95,0.53
Conventional,Sample watershed,20,2009,556.75,6.3,156.05,480.75,11.96,64.04,0.01,0.06,0.04,0.1,0.01,0.01,0.02,1.1,0.56
Conventional,Sample watershed,21,2009,556.75,6.3,167.19,476.59,12.08,68.08,2.32,16.97,11.9,28.87,1.69,3.44,5.13,341.86,0.58
Conventional,Sample watershed,22,2009,556.75,6.3,154.45,479.76,11.6,65.39,1.58,11.97,8.31,20.28,1.11,2.2,3.31,227.22,0.56
Conventional,Sample watershed,23,2009,556.75,6.3,164.01,474.61,11.36,70.78,0.19,1.5,1.02,2.52,0.14,0.26,0.41,28.73,0.54
Conventional,Sample watershed,24,2009,556.75,6.3,154.45,476.63,11.36,68.76,0.06,0.43,0.32,0.75,0.04,0.08,0.12,8.7,0.56
Conventional,Sample watershed,25,2009,556.75,6.3,156.05,476.39,11.6,68.76,0.71,5.12,3.32,8.43,0.46,0.9,1.36,94.32,0.53
Conventional,Sample watershed,26,2009,556.75,6.3,139.01,472.8,11.3,72.65,0.39,2.6,1.92,4.52,0.27,0.49,0.76,44.88,0.53
Conventional,Sample watershed,27,2009,556.75,6.3,144.74,470.76,11.09,74.9,0.65,4.63,3.34,7.97,0.45,0.86,1.32,80.61,0.53
Conventional,Sample watershed,28,2009,556.75,6.3,140.44,473.01,11.09,72.65,2.08,15.03,9.74,24.77,1.44,2.76,4.2,241.92,0.58
Conventional,Sample watershed,29,2009,556.75,6.3,137.58,471.73,10.87,74.15,1.77,13.08,9.09,22.17,1.25,2.55,3.8,239.5,0.53
Conventional,Sample watershed,1,2010,621.59,5.06,194.91,504.18,15.54,101.87,1.95,13.94,9.67,23.61,1.37,2.61,3.98,161.95,0.48
Conventional,Sample watershed,2,2010,621.59,5.06,204.86,508.19,14.64,98.75,0.28,1.95,1.3,3.25,0.19,0.37,0.55,23.83,0.5
Conventional,Sample watershed,3,2010,621.59,5.06,218.78,512.97,16.93,91.68,0.52,3.96,2.75,6.7,0.39,0.73,1.12,52.67,0.49
Conventional,Sample watershed,4,2010,621.59,5.06,225.41,508.19,16.1,97.29,2.24,14.8,10.91,25.71,1.53,2.8,4.33,203.14,0.5
Conventional,Sample watershed,5,2010,621.59,5.06,232.04,513.57,17.27,90.75,2.65,20.34,14.25,34.59,1.99,3.88,5.87,273.37,0.52
Conventional,Sample watershed,6,2010,621.59,5.06,214.36,508.9,17.27,95.42,0.72,4.7,3.3,8,0.5,0.9,1.39,65.82,0.48
Conventional,Sample watershed,7,2010,621.59,5.06,218.78,510.93,17.1,93.55,0.95,6.85,4.44,11.28,0.65,1.33,1.98,84.94,0.51
Conventional,Sample watershed,8,2010,621.59,5.06,220.99,507.86,16.44,97.29,0,0.03,0.02,0.05,0,0.01,0.01,0.4,0.52
Conventional,Sample watershed,9,2010,621.59,5.06,209.94,507.58,15.77,98.23,1.7,11.71,7.89,19.6,1.13,2.35,3.48,170.44,0.52
Conventional,Sample watershed,10,2010,621.59,5.06,198.89,499.14,14.34,108.11,0.12,0.89,0.57,1.46,0.08,0.16,0.24,10.9,0.51
Conventional,Sample watershed,11,2010,621.59,5.06,208.84,502.55,15.09,103.95,2.56,17.78,12.1,29.89,1.68,3.29,4.98,223.62,0.52
Conventional,Sample watershed,12,2010,621.59,5.06,208.84,502.26,14.34,104.99,2.56,16.91,11.75,28.65,1.65,3.53,5.18,213,0.53
Conventional,Sample watershed,13,2010,621.59,5.06,202.87,502.7,14.94,103.95,0.61,4.19,2.79,6.98,0.4,0.84,1.24,51.68,0.5
Conventional,Sample watershed,14,2010,621.59,5.06,206.85,506.71,15.09,99.79,6.48,49.74,33.52,83.26,4.71,8.95,13.66,544.17,0.52
Conventional,Sample watershed,15,2010,621.59,5.06,196.9,500.02,15.54,106.03,1.3,9,6.64,15.63,0.87,1.81,2.68,110.02,0.5
Conventional,Sample watershed,16,2010,621.59,5.06,194.91,499.43,15.09,107.07,0.21,1.47,0.96,2.43,0.14,0.27,0.4,17.61,0.53
Conventional,Sample watershed,17,2010,621.59,5.06,48.73,223,3.59,395,0.26,1.87,1.3,3.16,0.18,0.39,0.57,5.71,0.5
Conventional,Sample watershed,18,2010,621.59,5.06,51.21,193.78,3.7,424.1,0.05,0.35,0.25,0.6,0.03,0.07,0.1,1.04,0.49
Conventional,Sample watershed,19,2010,621.59,5.06,229.83,515.94,16.77,88.87,1.16,8.58,5.49,14.07,0.8,1.56,2.36,107.38,0.48
Conventional,Sample watershed,20,2010,621.59,5.06,225.41,510.6,17.43,93.55,0.01,0.08,0.05,0.14,0.01,0.02,0.02,1.04,0.52
Conventional,Sample watershed,21,2010,621.59,5.06,214.36,510.22,15.94,95.42,3.39,22.83,16.36,39.19,2.35,4.45,6.8,303.85,0.53
Conventional,Sample watershed,22,2010,621.59,5.06,209.94,507.36,16.93,97.29,2.25,16.46,10.98,27.43,1.64,2.99,4.62,225.47,0.48
Conventional,Sample watershed,23,2010,621.59,5.06,232.04,514.84,16.93,89.81,0.28,2.04,1.36,3.4,0.18,0.39,0.57,27.69,0.52
Conventional,Sample watershed,24,2010,621.59,5.06,212.15,515.45,17.27,88.87,0.09,0.65,0.42,1.07,0.06,0.11,0.17,8.05,0.49
Conventional,Sample watershed,25,2010,621.59,5.06,218.78,514.34,17.43,89.81,0.94,7.03,4.37,11.41,0.65,1.27,1.91,93.59,0.52
Conventional,Sample watershed,26,2010,621.59,5.06,208.84,502.4,14.19,104.99,0.52,3.65,2.53,6.18,0.36,0.75,1.12,45.95,0.53
Conventional,Sample watershed,27,2010,621.59,5.06,198.89,505.96,14.79,100.83,0.92,6.95,4.46,11.41,0.66,1.31,1.97,79.27,0.52
Conventional,Sample watershed,28,2010,621.59,5.06,192.92,507.3,14.49,99.79,2.86,18.87,13.25,32.12,2,3.64,5.64,225.99,0.51
Conventional,Sample watershed,29,2010,621.59,5.06,194.91,505.52,14.19,101.87,2.61,18.16,12.98,31.14,1.81,3.43,5.24,224.14,0.51
Existing,Sample watershed,1,2001,558.8,4.42,202.95,430.29,16.02,112.49,1.89,14.08,9.11,23.19,1.37,2.79,4.17,150.44,0.53
Existing,Sample watershed,2,2001,558.8,4.42,200.9,434.12,15.4,109.28,0.28,2.11,1.39,3.51,0.19,0.4,0.58,23.24,0.52
Existing,Sample watershed,3,2001,558.8,4.42,227.77,445.95,16.43,96.42,0.52,3.76,2.46,6.22,0.38,0.71,1.09,46.98,0.49
Existing,Sample watershed,4,2001,558.8,4.42,236.89,442.79,17.8,98.21,1.98,15.11,10.57,25.67,1.42,2.71,4.12,194,0.53
Existing,Sample watershed,5,2001,558.8,4.42,236.89,447.02,17.28,94.5,3.02,21.38,13.29,34.67,2.05,3.88,5.93,243.98,0.49
Existing,Sample watershed,6,2001,558.8,4.42,236.89,441.52,17.97,99.32,0.67,5.2,3.26,8.46,0.48,0.93,1.41,60.53,0.52
Existing,Sample watershed,7,2001,558.8,4.42,216.39,442.37,17.11,99.32,0.97,6.58,4.62,11.2,0.69,1.24,1.93,84.61,0.5
Existing,Sample watershed,8,2001,558.8,4.42,225.5,450.09,17.11,91.6,0,0.03,0.02,0.05,0,0.01,0.01,0.37,0.49
Existing,Sample watershed,9,2001,558.8,4.42,227.77,446.57,16.77,95.46,1.79,12.7,8.13,20.83,1.23,2.3,3.53,144.79,0.49
Existing,Sample watershed,10,2001,558.8,4.42,213.2,435.8,15.86,107.14,0.12,0.92,0.61,1.53,0.09,0.18,0.26,9.15,0.5
Existing,Sample watershed,11,2001,558.8,4.42,213.2,435.65,14.94,108.21,2.59,18.15,12.6,30.74,1.67,3.36,5.03,189.96,0.53
Existing,Sample watershed,12,2001,558.8,4.42,209.1,432.28,16.17,110.35,2.41,18.33,12.23,30.56,1.79,3.6,5.39,195.86,0.51
Existing,Sample watershed,13,2001,558.8,4.42,213.2,435.35,15.25,108.21,0.62,4.49,2.85,7.34,0.4,0.87,1.27,43.83,0.49
Existing,Sample watershed,14,2001,558.8,4.42,207.05,431.36,16.02,111.42,6.73,43.56,30.27,73.83,4.3,8.91,13.21,521.15,0.51
Existing,Sample watershed,15,2001,558.8,4.42,198.85,440.09,15.86,102.85,1.23,9.27,6.05,15.31,0.88,1.73,2.61,101.13,0.52
Existing,Sample watershed,16,2001,558.8,4.42,205,433.66,14.78,110.35,0.2,1.46,1,2.46,0.14,0.28,0.42,16.03,0.49
Existing,Sample watershed,17,2001,558.8,4.42,48.69,134.93,3.89,419.98,0.28,1.9,1.3,3.2,0.19,0.37,0.56,5.19,0.53
Existing,Sample watershed,18,2001,558.8,4.42,49.71,113.58,3.81,441.41,0.05,0.37,0.25,0.62,0.04,0.07,0.11,1.05,0.51
Existing,Sample watershed,19,2001,558.8,4.42,232.33,441.75,16.77,100.28,1.27,9.02,5.96,14.98,0.82,1.59,2.41,109.13,0.49
Existing,Sample watershed,20,2001,558.8,4.42,216.39,444.92,17.45,96.42,0.01,0.08,0.05,0.14,0.01,0.02,0.02,0.99,0.49
Existing,Sample watershed,21,2001,558.8,4.42,234.61,443.06,16.43,99.32,3.36,23.54,16.19,39.73,2.35,4.73,7.08,288.22,0.5
Existing,Sample watershed,22,2001,558.8,4.42,232.33,443.68,16.77,98.35,2.32,16.79,11.88,28.67,1.59,3.3,4.89,209.32,0.51
Existing,Sample watershed,23,2001,558.8,4.42,225.5,443.06,16.43,99.32,0.27,2.02,1.4,3.42,0.2,0.39,0.59,25.95,0.5
Existing,Sample watershed,24,2001,558.8,4.42,216.39,441.69,17.8,99.32,0.09,0.64,0.43,1.07,0.06,0.12,0.18,7.71,0.49
Existing,Sample watershed,25,2001,558.8,4.42,218.66,442.2,17.28,99.32,0.99,7.11,4.51,11.62,0.66,1.26,1.92,81.93,0.49
Existing,Sample watershed,26,2001,558.8,4.42,202.95,434.89,14.63,109.28,0.51,3.99,2.53,6.53,0.37,0.78,1.15,41.84,0.48
Existing,Sample watershed,27,2001,558.8,4.42,198.85,431.37,14.94,112.49,0.9,6.69,4.55,11.24,0.65,1.35,2,71.43,0.49
Existing,Sample watershed,28,2001,558.8,4.42,196.8,439.18,14.63,105,2.83,19.65,14.48,34.14,2.02,4.1,6.12,225.31,0.49
Existing,Sample watershed,29,2001,558.8,4.42,205,437.79,16.02,105,2.67,18.91,13.51,32.42,1.92,3.54,5.46,212.23,0.51
Existing,Sample watershed,1,2002,510.3,3.42,232.4,363.25,18,129.05,2.23,16.45,11.31,27.76,1.64,3.14,4.78,128.91,0.51
Existing,Sample watershed,2,2002,510.3,3.42,234.82,366.14,17.64,126.52,0.34,2.3,1.63,3.93,0.24,0.43,0.67,19.96,0.51
Existing,Sample watershed,3,2002,510.3,3.42,274.36,372.89,21.44,115.97,0.63,4.53,2.87,7.4,0.41,0.86,1.26,44.5,0.49
Existing,Sample watershed,4,2002,510.3,3.42,255.53,379.42,20.41,110.47,2.49,16.76,12.88,29.64,1.78,3.37,5.15,180.45,0.52
Existing,Sample watershed,5,2002,510.3,3.42,258.22,377.03,19.4,113.87,3.46,24.76,16.19,40.95,2.28,4.63,6.91,215.68,0.52
Existing,Sample watershed,6,2002,510.3,3.42,260.91,381.52,20.61,108.17,0.87,5.72,4.14,9.86,0.56,1.2,1.75,51.35,0.49
Existing,Sample watershed,7,2002,510.3,3.42,279.74,369.93,20.81,119.56,1.11,7.85,5.29,13.14,0.81,1.53,2.34,69.74,0.51
Existing,Sample watershed,8,2002,510.3,3.42,279.74,380.78,20.21,109.31,0,0.04,0.03,0.06,0,0.01,0.01,0.31,0.48
Existing,Sample watershed,9,2002,510.3,3.42,271.67,377.16,20.41,112.73,2.01,15.44,9.6,25.05,1.49,2.92,4.41,133.29,0.48
Existing,Sample watershed,10,2002,510.3,3.42,237.24,364.88,17.64,127.79,0.15,1.12,0.75,1.86,0.1,0.2,0.3,9.03,0.51
Existing,Sample watershed,11,2002,510.3,3.42,229.98,370.11,18.73,121.46,2.93,22.29,14,36.3,1.97,3.92,5.89,178.38,0.52
Existing,Sample watershed,12,2002,510.3,3.42,246.92,366.13,18.91,125.25,2.91,22.08,14.15,36.23,2.15,3.97,6.12,174.9,0.53
Existing,Sample watershed,13,2002,510.3,3.42,249.34,369.03,18.55,122.72,0.72,4.89,3.26,8.16,0.47,0.96,1.43,42.02,0.5
Existing,Sample watershed,14,2002,510.3,3.42,242.08,369.75,17.82,122.72,7.69,56.85,36.09,92.94,4.97,11.08,16.05,433.44,0.5
Existing,Sample watershed,15,2002,510.3,3.42,246.92,369.03,17.28,123.99,1.42,10.5,7.23,17.73,1.04,2.15,3.19,90.25,0.47
Existing,Sample watershed,16,2002,510.3,3.42,254.19,369.57,18,122.72,0.25,1.7,1.17,2.87,0.16,0.35,0.51,14.74,0.49
Existing,Sample watershed,17,2002,510.3,3.42,59.31,-15.37,4.41,521.26,0.33,2.27,1.59,3.87,0.23,0.44,0.68,4.73,0.49
Existing,Sample watershed,18,2002,510.3,3.42,59.92,14.95,4.46,490.9,0.06,0.44,0.31,0.76,0.04,0.08,0.13,0.88,0.53
Existing,Sample watershed,19,2002,510.3,3.42,263.6,381.92,20.21,108.17,1.44,10.13,6.76,16.89,0.94,1.91,2.85,89.1,0.5
Existing,Sample watershed,20,2002,510.3,3.42,266.29,379.84,20,110.45,0.01,0.1,0.07,0.17,0.01,0.02,0.03,0.93,0.48
Existing,Sample watershed,21,2002,510.3,3.42,268.98,380.38,20.61,109.31,3.93,27.79,20.3,48.1,2.69,5.7,8.38,270.51,0.48
Existing,Sample watershed,22,2002,510.3,3.42,277.05,374.35,19.8,116.15,2.63,19.83,13.63,33.46,1.8,3.97,5.78,176.24,0.53
Existing,Sample watershed,23,2002,510.3,3.42,260.91,371.07,20.81,118.42,0.35,2.46,1.61,4.07,0.24,0.46,0.7,21.63,0.52
Existing,Sample watershed,24,2002,510.3,3.42,255.53,376.35,21.22,112.73,0.11,0.8,0.49,1.29,0.07,0.14,0.21,7.23,0.53
Existing,Sample watershed,25,2002,510.3,3.42,279.74,381.52,20.61,108.17,1.2,7.98,5.6,13.59,0.8,1.54,2.34,75.38,0.52
Existing,Sample watershed,26,2002,510.3,3.42,249.34,360.53,18.19,131.58,0.63,4.76,3.24,8,0.46,0.92,1.38,37.36,0.52
Existing,Sample watershed,27,2002,510.3,3.42,249.34,361.26,17.46,131.58,1.17,8.46,5.27,13.72,0.8,1.52,2.32,61.83,0.48
Existing,Sample watershed,28,2002,510.3,3.42,249.34,358.36,19.09,132.85,3.38,24.18,16.45,40.63,2.27,4.85,7.11,197.29,0.52
Existing,Sample watershed,29,2002,510.3,3.42,239.66,361.25,18.73,130.32,3.18,22.33,14.89,37.22,2.14,4.52,6.66,178.58,0.51
Existing,Sample watershed,1,2003,652.3,4.29,246.43,500.58,17.77,133.95,2.29,16.42,11.06,27.48,1.7,3.29,4.99,168.34,0.57
Existing,Sample watershed,2,2003,652.3,4.29,246.43,501.32,18.33,132.66,0.35,2.56,1.63,4.19,0.22,0.47,0.69,24.75,0.54
Existing,Sample watershed,3,2003,652.3,4.29,287.5,519.29,20.57,112.44,0.61,4.75,2.89,7.65,0.44,0.92,1.35,53.14,0.58
Existing,Sample watershed,4,2003,652.3,4.29,262.86,509.19,21.4,121.71,2.43,19.09,12.24,31.33,1.79,3.29,5.08,200.8,0.56
Existing,Sample watershed,5,2003,652.3,4.29,282.03,520.32,19.54,112.44,3.31,25.95,16.31,42.26,2.51,4.76,7.27,273.01,0.54
Existing,Sample watershed,6,2003,652.3,4.29,265.6,520.66,20.36,111.28,0.84,6.25,4.05,10.3,0.61,1.17,1.78,61.9,0.56
Existing,Sample watershed,7,2003,652.3,4.29,273.81,522.23,19.95,110.12,1.08,8.32,5.27,13.59,0.77,1.49,2.27,86.66,0.55
Existing,Sample watershed,8,2003,652.3,4.29,268.34,510.36,21.39,120.55,0.01,0.04,0.03,0.06,0,0.01,0.01,0.38,0.54
Existing,Sample watershed,9,2003,652.3,4.29,279.29,510.84,19.75,121.71,2.13,14.81,9.88,24.69,1.39,2.77,4.16,165.36,0.57
Existing,Sample watershed,10,2003,652.3,4.29,234.11,502.97,17.96,131.37,0.15,1.14,0.72,1.85,0.1,0.21,0.31,10.26,0.56
Existing,Sample watershed,11,2003,652.3,4.29,256.29,509.78,18.88,123.64,2.99,23.14,14.85,37.98,2.02,4.12,6.15,214.86,0.58
Existing,Sample watershed,12,2003,652.3,4.29,251.36,512.17,17.77,122.35,3.02,22.26,14.85,37.1,2,3.96,5.96,210.7,0.54
Existing,Sample watershed,13,2003,652.3,4.29,253.82,509.96,18.7,123.64,0.73,5.19,3.6,8.79,0.5,0.94,1.44,48.65,0.57
