Scenario,Watershed,LocationType,BMPType,SubArea,Year,Soil moisture onsite,ET onsite,Groundwater recharge onsite,Runoff onsite,TSS onsite,DN onsite,PN onsite,TN onsite,DP onsite,PP onsite,TP onsite,Soil carbon onsite,Biodiversity onsite,Runoff offsite,TSS offsite,DN offsite,PN offsite,TN offsite,DP offsite,PP offsite,TP offsite,BMP cost
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2002,1.53,1.58,1.44,-3.96,-11.88,-5.2,-9.45,-6.9,-4.95,-9.18,-7.78,4.04,11.52,-0.21,-0.63,-0.28,-0.51,-0.37,-0.26,-0.49,-0.42,75.72
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2002,1.43,1.44,1.58,-4.12,-12.6,-5.15,-9.09,-6.73,-4.85,-9.27,-7.81,4,12.36,-0.22,-0.67,-0.28,-0.49,-0.36,-0.26,-0.5,-0.42,75.15
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2003,1.5,1.49,1.52,-4.16,-12,-5.15,-9.27,-6.8,-4.85,-9.36,-7.87,4,11.4,-0.22,-0.64,-0.28,-0.5,-0.36,-0.26,-0.5,-0.42,98.45
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2003,1.49,1.44,1.47,-4.12,-11.64,-5.15,-9.36,-6.83,-5.15,-9.36,-7.97,4.08,12.36,-0.22,-0.62,-0.28,-0.5,-0.37,-0.28,-0.5,-0.43,80.94
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2004,1.47,1.44,1.44,-3.96,-12,-5.2,-8.82,-6.65,-4.8,-8.55,-7.31,4,12.24,-0.21,-0.64,-0.28,-0.47,-0.36,-0.26,-0.46,-0.39,83.64
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2004,1.52,1.47,1.53,-4.2,-11.4,-5.1,-9.27,-6.77,-5.25,-8.82,-7.64,4.12,12.6,-0.22,-0.61,-0.27,-0.5,-0.36,-0.28,-0.47,-0.41,98.02
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2005,1.52,1.55,1.43,-3.84,-11.4,-4.85,-9.36,-6.65,-5.2,-8.64,-7.5,4.12,11.4,-0.21,-0.61,-0.26,-0.5,-0.36,-0.28,-0.46,-0.4,96.27
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2005,1.58,1.43,1.53,-3.92,-12.48,-4.95,-8.91,-6.53,-4.9,-8.82,-7.53,3.88,12.48,-0.21,-0.67,-0.26,-0.48,-0.35,-0.26,-0.47,-0.4,72.41
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2006,1.44,1.47,1.47,-4.12,-12.36,-5.2,-9.27,-6.83,-5,-9.09,-7.74,4.12,11.88,-0.22,-0.66,-0.28,-0.5,-0.36,-0.27,-0.49,-0.41,69.5
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2006,1.49,1.46,1.56,-3.88,-12.12,-4.95,-8.91,-6.53,-4.75,-8.64,-7.36,4.12,12,-0.21,-0.65,-0.26,-0.48,-0.35,-0.25,-0.46,-0.39,68.41
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2007,1.44,1.44,1.44,-4.04,-12.36,-4.9,-9.09,-6.58,-4.85,-9.36,-7.87,4.2,11.64,-0.22,-0.66,-0.26,-0.49,-0.35,-0.26,-0.5,-0.42,90.88
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2007,1.44,1.5,1.58,-4.16,-11.52,-5.15,-8.55,-6.51,-5.2,-8.73,-7.57,3.88,12.36,-0.22,-0.62,-0.28,-0.46,-0.35,-0.28,-0.47,-0.4,86.53
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2008,1.53,1.56,1.56,-4,-11.64,-4.95,-8.82,-6.5,-4.9,-8.91,-7.59,4,12.48,-0.21,-0.62,-0.26,-0.47,-0.35,-0.26,-0.48,-0.41,66.5
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2008,1.49,1.44,1.55,-4.12,-12.24,-5.05,-8.82,-6.56,-5.05,-8.64,-7.46,4.2,11.52,-0.22,-0.65,-0.27,-0.47,-0.35,-0.27,-0.46,-0.4,92.44
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2009,1.53,1.52,1.53,-4,-12,-4.75,-8.91,-6.41,-4.9,-9,-7.65,4.04,11.52,-0.21,-0.64,-0.25,-0.48,-0.34,-0.26,-0.48,-0.41,72.75
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2009,1.55,1.53,1.47,-3.96,-11.64,-5.25,-8.55,-6.57,-5,-8.82,-7.56,4.16,11.52,-0.21,-0.62,-0.28,-0.46,-0.35,-0.27,-0.47,-0.4,80
Conventional,Sample watershed,SubArea,GWW_ROGZ,22,2010,1.56,1.49,1.46,-3.8,-11.4,-4.85,-9.09,-6.55,-4.75,-9.27,-7.78,4,11.76,-0.2,-0.61,-0.26,-0.49,-0.35,-0.25,-0.5,-0.42,74
Existing,Sample watershed,SubArea,GWW_ROGZ,22,2010,1.55,1.56,1.53,-3.84,-12.12,-5.25,-9.36,-6.89,-4.95,-9,-7.66,3.88,11.52,-0.21,-0.65,-0.28,-0.5,-0.37,-0.26,-0.48,-0.41,81.92
Conventional,Sample watershed,SubArea,GWW_VFST,6,2001,2.38,2.43,2.43,-7.28,-19.8,-8.32,-15.84,-11.33,-8.16,-15.68,-13.2,8.08,20.6,-0.12,-0.32,-0.14,-0.26,-0.18,-0.13,-0.25,-0.21,43.26
Existing,Sample watershed,SubArea,GWW_VFST,6,2001,2.38,2.38,2.58,-6.93,-21,-7.68,-15.52,-10.82,-7.6,-15.68,-13.01,8,19.2,-0.11,-0.34,-0.12,-0.25,-0.18,-0.12,-0.25,-0.21,49.42
Conventional,Sample watershed,SubArea,GWW_VFST,6,2002,2.55,2.4,2.6,-7.07,-20.6,-7.92,-15.52,-10.96,-7.68,-15.84,-13.15,7.76,19.2,-0.11,-0.33,-0.13,-0.25,-0.18,-0.12,-0.26,-0.21,39.68
Existing,Sample watershed,SubArea,GWW_VFST,6,2002,2.58,2.38,2.55,-7.35,-19.8,-7.68,-16.64,-11.26,-8.08,-16.48,-13.71,7.92,20.2,-0.12,-0.32,-0.12,-0.27,-0.18,-0.13,-0.27,-0.22,51.61
Conventional,Sample watershed,SubArea,GWW_VFST,6,2003,2.63,2.48,2.63,-7.21,-19.2,-7.6,-16.8,-11.28,-7.76,-15.68,-13.07,7.68,19.8,-0.12,-0.31,-0.12,-0.27,-0.18,-0.13,-0.25,-0.21,47.5
Existing,Sample watershed,SubArea,GWW_VFST,6,2003,2.5,2.4,2.5,-6.65,-19.2,-8.32,-15.52,-11.2,-8.16,-16.8,-13.95,8.08,20.4,-0.11,-0.31,-0.14,-0.25,-0.18,-0.13,-0.27,-0.23,46.18
Conventional,Sample watershed,SubArea,GWW_VFST,6,2004,2.63,2.53,2.53,-7.07,-20.6,-8.08,-15.84,-11.18,-8.24,-16.64,-13.87,7.84,20.2,-0.11,-0.33,-0.13,-0.26,-0.18,-0.13,-0.27,-0.23,44.11
Existing,Sample watershed,SubArea,GWW_VFST,6,2004,2.45,2.4,2.38,-6.79,-19.2,-8,-16,-11.2,-7.6,-15.52,-12.91,7.92,19.4,-0.11,-0.31,-0.13,-0.26,-0.18,-0.12,-0.25,-0.21,38.54
Conventional,Sample watershed,SubArea,GWW_VFST,6,2005,2.53,2.38,2.45,-6.86,-20.2,-7.92,-16.48,-11.34,-7.84,-16.32,-13.52,7.68,21,-0.11,-0.33,-0.13,-0.27,-0.18,-0.13,-0.26,-0.22,38.62
Existing,Sample watershed,SubArea,GWW_VFST,6,2005,2.48,2.4,2.4,-6.65,-20,-7.84,-16.64,-11.36,-8.24,-15.84,-13.33,8,19.8,-0.11,-0.32,-0.13,-0.27,-0.18,-0.13,-0.26,-0.22,42.84
Conventional,Sample watershed,SubArea,GWW_VFST,6,2006,2.48,2.4,2.38,-7.28,-20.4,-7.84,-16,-11.1,-8,-16.16,-13.47,8.4,20,-0.12,-0.33,-0.13,-0.26,-0.18,-0.13,-0.26,-0.22,48.52
Existing,Sample watershed,SubArea,GWW_VFST,6,2006,2.6,2.63,2.6,-6.79,-20.4,-7.92,-15.84,-11.09,-8.4,-16.64,-13.92,7.6,19.4,-0.11,-0.33,-0.13,-0.26,-0.18,-0.14,-0.27,-0.23,50.6
Conventional,Sample watershed,SubArea,GWW_VFST,6,2007,2.48,2.55,2.38,-7.14,-20.4,-8.32,-15.84,-11.33,-8,-16.32,-13.57,8.16,20.6,-0.12,-0.33,-0.14,-0.26,-0.18,-0.13,-0.26,-0.22,36.57
Existing,Sample watershed,SubArea,GWW_VFST,6,2007,2.6,2.45,2.43,-7.14,-20.4,-8.32,-16.8,-11.71,-7.92,-15.84,-13.23,8.4,19.4,-0.12,-0.33,-0.14,-0.27,-0.19,-0.13,-0.26,-0.21,36.92
Conventional,Sample watershed,SubArea,GWW_VFST,6,2008,2.58,2.53,2.43,-6.86,-20.2,-7.6,-15.2,-10.64,-7.84,-16.48,-13.63,8.4,20,-0.11,-0.33,-0.12,-0.25,-0.17,-0.13,-0.27,-0.22,48.66
Existing,Sample watershed,SubArea,GWW_VFST,6,2008,2.5,2.4,2.58,-6.86,-20,-8.4,-15.68,-11.31,-8.32,-16.8,-14,7.92,20.2,-0.11,-0.32,-0.14,-0.25,-0.18,-0.14,-0.27,-0.23,44.99
Conventional,Sample watershed,SubArea,GWW_VFST,6,2009,2.53,2.63,2.58,-6.93,-19.4,-7.68,-16.32,-11.14,-8.4,-16.48,-13.81,8.24,19.2,-0.11,-0.31,-0.12,-0.26,-0.18,-0.14,-0.27,-0.22,49.76
Existing,Sample watershed,SubArea,GWW_VFST,6,2009,2.48,2.43,2.43,-7.14,-19.8,-7.68,-15.68,-10.88,-8,-16.8,-13.9,8.16,21,-0.12,-0.32,-0.12,-0.25,-0.18,-0.13,-0.27,-0.23,36.08
Conventional,Sample watershed,SubArea,GWW_VFST,6,2010,2.43,2.38,2.63,-7.35,-20.2,-8.08,-15.68,-11.12,-7.68,-16.32,-13.47,8.16,20.8,-0.12,-0.33,-0.13,-0.25,-0.18,-0.12,-0.26,-0.22,41.53
Existing,Sample watershed,SubArea,GWW_VFST,6,2010,2.5,2.38,2.53,-7.21,-20.6,-8.24,-15.2,-11.02,-7.76,-15.36,-12.85,8.16,19.4,-0.12,-0.33,-0.13,-0.25,-0.18,-0.13,-0.25,-0.21,46.72
Conventional,Sample watershed,SubArea,GWW_VFST,7,2001,2.48,2.6,2.43,-6.93,-20.2,-7.68,-16.16,-11.07,-7.76,-15.84,-13.17,8.32,19.2,-0.14,-0.42,-0.16,-0.34,-0.23,-0.16,-0.33,-0.27,47.69
Existing,Sample watershed,SubArea,GWW_VFST,7,2001,2.58,2.38,2.55,-7.14,-20,-7.84,-15.84,-11.04,-8.16,-16,-13.41,7.92,20.4,-0.15,-0.42,-0.16,-0.33,-0.23,-0.17,-0.33,-0.28,47.44
Conventional,Sample watershed,SubArea,GWW_VFST,7,2002,2.48,2.55,2.4,-6.79,-20.6,-8.24,-15.52,-11.15,-7.92,-15.36,-12.9,7.84,20,-0.14,-0.43,-0.17,-0.32,-0.23,-0.16,-0.32,-0.27,63.36
Existing,Sample watershed,SubArea,GWW_VFST,7,2002,2.45,2.63,2.55,-6.93,-20.6,-8.08,-15.52,-11.06,-8.16,-15.68,-13.2,7.68,19.8,-0.14,-0.43,-0.17,-0.32,-0.23,-0.17,-0.33,-0.27,62.05
Conventional,Sample watershed,SubArea,GWW_VFST,7,2003,2.48,2.58,2.53,-6.86,-19.2,-8.24,-16.8,-11.66,-8,-15.36,-12.93,7.92,20.6,-0.14,-0.4,-0.17,-0.35,-0.24,-0.17,-0.32,-0.27,57.03
Existing,Sample watershed,SubArea,GWW_VFST,7,2003,2.38,2.55,2.53,-6.86,-19.6,-8.08,-16.48,-11.44,-8.24,-16.64,-13.87,8.16,19.4,-0.14,-0.41,-0.17,-0.34,-0.24,-0.17,-0.35,-0.29,46.16
Conventional,Sample watershed,SubArea,GWW_VFST,7,2004,2.63,2.53,2.4,-7.14,-20.4,-7.92,-16.64,-11.41,-7.6,-16.48,-13.55,7.76,20.6,-0.15,-0.42,-0.16,-0.35,-0.24,-0.16,-0.34,-0.28,56.38
Existing,Sample watershed,SubArea,GWW_VFST,7,2004,2.55,2.43,2.38,-7.14,-19.2,-8,-15.84,-11.14,-7.6,-16.8,-13.76,7.6,19.4,-0.15,-0.4,-0.17,-0.33,-0.23,-0.16,-0.35,-0.29,65.29
Conventional,Sample watershed,SubArea,GWW_VFST,7,2005,2.48,2.48,2.43,-7.35,-20.6,-8,-16.48,-11.39,-8.32,-16.16,-13.57,7.6,20.6,-0.15,-0.43,-0.17,-0.34,-0.24,-0.17,-0.34,-0.28,51.39
Existing,Sample watershed,SubArea,GWW_VFST,7,2005,2.63,2.45,2.53,-6.93,-20.8,-8.24,-15.2,-11.02,-8.16,-16.8,-13.95,7.6,20.6,-0.14,-0.43,-0.17,-0.32,-0.23,-0.17,-0.35,-0.29,57.46
Conventional,Sample watershed,SubArea,GWW_VFST,7,2006,2.6,2.38,2.5,-7.21,-19.8,-7.6,-15.84,-10.9,-7.6,-15.52,-12.91,8.08,20.4,-0.15,-0.41,-0.16,-0.33,-0.23,-0.16,-0.32,-0.27,60.68
Existing,Sample watershed,SubArea,GWW_VFST,7,2006,2.43,2.45,2.48,-7.35,-19.2,-8.4,-15.52,-11.25,-7.68,-16.16,-13.36,7.92,20.2,-0.15,-0.4,-0.17,-0.32,-0.23,-0.16,-0.34,-0.28,55.59
Conventional,Sample watershed,SubArea,GWW_VFST,7,2007,2.58,2.38,2.63,-6.79,-20,-7.6,-15.2,-10.64,-7.68,-16.64,-13.68,7.68,19.6,-0.14,-0.42,-0.16,-0.32,-0.22,-0.16,-0.35,-0.28,53.52
Existing,Sample watershed,SubArea,GWW_VFST,7,2007,2.55,2.55,2.45,-6.86,-21,-8,-15.84,-11.14,-8.4,-15.52,-13.17,8.32,19.8,-0.14,-0.44,-0.17,-0.33,-0.23,-0.17,-0.32,-0.27,46.03
Conventional,Sample watershed,SubArea,GWW_VFST,7,2008,2.43,2.55,2.45,-7.14,-20,-8.4,-15.84,-11.38,-8.08,-16.8,-13.92,7.68,19,-0.15,-0.42,-0.17,-0.33,-0.24,-0.17,-0.35,-0.29,52.71
Existing,Sample watershed,SubArea,GWW_VFST,7,2008,2.53,2.48,2.45,-6.93,-21,-7.84,-15.52,-10.91,-7.84,-15.84,-13.2,7.84,20.4,-0.14,-0.44,-0.16,-0.32,-0.23,-0.16,-0.33,-0.27,56.57
Conventional,Sample watershed,SubArea,GWW_VFST,7,2009,2.38,2.55,2.63,-6.86,-20.4,-8,-15.68,-11.07,-8.08,-15.2,-12.85,8,20,-0.14,-0.42,-0.17,-0.33,-0.23,-0.17,-0.32,-0.27,58.81
Existing,Sample watershed,SubArea,GWW_VFST,7,2009,2.5,2.38,2.4,-7,-19.4,-8.16,-15.2,-10.98,-8,-16.48,-13.68,7.68,19.4,-0.15,-0.4,-0.17,-0.32,-0.23,-0.17,-0.34,-0.28,62.62
Conventional,Sample watershed,SubArea,GWW_VFST,7,2010,2.43,2.48,2.58,-6.93,-20.8,-8.32,-16,-11.39,-8.32,-15.84,-13.36,8.4,21,-0.14,-0.43,-0.17,-0.33,-0.24,-0.17,-0.33,-0.28,54.47
Existing,Sample watershed,SubArea,GWW_VFST,7,2010,2.58,2.48,2.43,-7.21,-19.6,-8.24,-15.68,-11.22,-8.24,-16,-13.44,8,20.6,-0.15,-0.41,-0.17,-0.33,-0.23,-0.17,-0.33,-0.28,65.42
Conventional,Sample watershed,SubArea,GWW_VFST,21,2001,2.5,2.48,2.43,-7.07,-21,-7.68,-15.2,-10.69,-7.68,-16.16,-13.36,8.08,20.2,-0.53,-1.58,-0.58,-1.14,-0.8,-0.58,-1.22,-1,162.79
Existing,Sample watershed,SubArea,GWW_VFST,21,2001,2.43,2.6,2.48,-7.21,-19,-8.32,-16.32,-11.52,-7.92,-15.84,-13.23,7.92,20.2,-0.54,-1.43,-0.63,-1.23,-0.87,-0.6,-1.19,-0.99,206.9
Conventional,Sample watershed,SubArea,GWW_VFST,21,2002,2.53,2.45,2.4,-7.07,-19,-7.84,-15.2,-10.78,-8.4,-15.36,-13.06,8.16,19,-0.53,-1.43,-0.59,-1.14,-0.81,-0.63,-1.16,-0.98,180.77
Existing,Sample watershed,SubArea,GWW_VFST,21,2002,2.43,2.63,2.43,-6.86,-19.6,-8.4,-15.52,-11.25,-7.68,-15.68,-13.04,8.4,20.8,-0.52,-1.47,-0.63,-1.17,-0.85,-0.58,-1.18,-0.98,229.48
Conventional,Sample watershed,SubArea,GWW_VFST,21,2003,2.55,2.43,2.63,-7.28,-21,-8.24,-15.2,-11.02,-7.84,-15.2,-12.77,7.92,19,-0.55,-1.58,-0.62,-1.14,-0.83,-0.59,-1.14,-0.96,199.78
Existing,Sample watershed,SubArea,GWW_VFST,21,2003,2.5,2.55,2.63,-6.79,-21,-8.32,-16.32,-11.52,-8.32,-15.36,-13.04,7.92,20.4,-0.51,-1.58,-0.63,-1.23,-0.87,-0.63,-1.16,-0.98,215.7
Conventional,Sample watershed,SubArea,GWW_VFST,21,2004,2.58,2.55,2.48,-7.14,-19.8,-8.4,-16,-11.44,-7.84,-15.52,-12.99,8.32,20.2,-0.54,-1.49,-0.63,-1.2,-0.86,-0.59,-1.17,-0.98,205.09
Existing,Sample watershed,SubArea,GWW_VFST,21,2004,2.58,2.48,2.53,-6.86,-19.4,-8.16,-16.16,-11.36,-8.24,-15.2,-12.9,7.76,20.2,-0.52,-1.46,-0.61,-1.22,-0.85,-0.62,-1.14,-0.97,178.55
Conventional,Sample watershed,SubArea,GWW_VFST,21,2005,2.48,2.63,2.48,-7.35,-19.2,-7.6,-15.36,-10.7,-8.16,-16.16,-13.52,7.6,19.2,-0.55,-1.44,-0.57,-1.16,-0.81,-0.61,-1.22,-1.02,233.86
Existing,Sample watershed,SubArea,GWW_VFST,21,2005,2.48,2.43,2.55,-6.79,-19.4,-8.08,-15.84,-11.18,-8.32,-16.32,-13.68,7.6,19,-0.51,-1.46,-0.61,-1.19,-0.84,-0.63,-1.23,-1.03,185.19
Conventional,Sample watershed,SubArea,GWW_VFST,21,2006,2.5,2.6,2.55,-7.35,-19.2,-7.84,-15.68,-10.98,-8.24,-16.8,-13.98,7.76,20.2,-0.55,-1.44,-0.59,-1.18,-0.83,-0.62,-1.26,-1.05,239.63
Existing,Sample watershed,SubArea,GWW_VFST,21,2006,2.55,2.4,2.45,-7.14,-19.8,-8,-16.8,-11.52,-8.24,-16.48,-13.76,7.84,21,-0.54,-1.49,-0.6,-1.26,-0.87,-0.62,-1.24,-1.03,196.63
Conventional,Sample watershed,SubArea,GWW_VFST,21,2007,2.48,2.48,2.63,-6.86,-19,-8.16,-16.8,-11.62,-8.24,-16.48,-13.76,7.84,20.8,-0.52,-1.43,-0.61,-1.26,-0.87,-0.62,-1.24,-1.03,238.03
Existing,Sample watershed,SubArea,GWW_VFST,21,2007,2.55,2.63,2.38,-6.86,-19,-7.68,-15.2,-10.69,-8.32,-15.2,-12.93,7.76,20.2,-0.52,-1.43,-0.58,-1.14,-0.8,-0.63,-1.14,-0.97,155.58
Conventional,Sample watershed,SubArea,GWW_VFST,21,2008,2.45,2.6,2.48,-7.35,-19.4,-8.32,-16.48,-11.58,-7.68,-16.64,-13.68,8.4,19.2,-0.55,-1.46,-0.63,-1.24,-0.87,-0.58,-1.25,-1.03,244.92
Existing,Sample watershed,SubArea,GWW_VFST,21,2008,2.53,2.58,2.55,-7.21,-20.8,-8.24,-16.48,-11.54,-7.6,-15.84,-13.12,8.24,19.4,-0.54,-1.56,-0.62,-1.24,-0.87,-0.57,-1.19,-0.99,177.62
Conventional,Sample watershed,SubArea,GWW_VFST,21,2009,2.45,2.58,2.6,-7,-19.4,-8,-15.36,-10.94,-8.16,-16.8,-13.95,7.76,20,-0.53,-1.46,-0.6,-1.16,-0.82,-0.61,-1.26,-1.05,234.98
Existing,Sample watershed,SubArea,GWW_VFST,21,2009,2.4,2.55,2.63,-7,-19.6,-7.84,-16,-11.1,-8.16,-16.8,-13.95,7.84,19.2,-0.53,-1.47,-0.59,-1.2,-0.84,-0.61,-1.26,-1.05,201.42
Conventional,Sample watershed,SubArea,GWW_VFST,21,2010,2.4,2.48,2.43,-7,-19,-7.6,-15.68,-10.83,-8,-16.32,-13.57,8.24,20.8,-0.53,-1.43,-0.57,-1.18,-0.81,-0.6,-1.23,-1.02,204.18
Existing,Sample watershed,SubArea,GWW_VFST,21,2010,2.5,2.43,2.45,-7,-19.2,-8.32,-15.52,-11.2,-8.32,-15.68,-13.25,8.16,20.4,-0.53,-1.44,-0.63,-1.17,-0.84,-0.63,-1.18,-1,197.32
Conventional,Sample watershed,SubArea,GWW_VFST,22,2001,2.58,2.6,2.53,-7.21,-19,-8.08,-15.36,-10.99,-7.92,-16.16,-13.44,8.08,20.6,-0.39,-1.02,-0.43,-0.82,-0.59,-0.42,-0.86,-0.72,158.04
Existing,Sample watershed,SubArea,GWW_VFST,22,2001,2.48,2.38,2.43,-7.28,-19.8,-7.84,-15.68,-10.98,-7.76,-15.36,-12.85,8.32,19,-0.39,-1.06,-0.42,-0.84,-0.59,-0.41,-0.82,-0.69,144.25
Conventional,Sample watershed,SubArea,GWW_VFST,22,2002,2.6,2.6,2.45,-7.28,-19.6,-7.6,-15.52,-10.77,-8.16,-15.36,-12.98,8.16,19,-0.39,-1.05,-0.41,-0.83,-0.58,-0.44,-0.82,-0.69,162.39
Existing,Sample watershed,SubArea,GWW_VFST,22,2002,2.55,2.6,2.48,-6.72,-21,-8.4,-16.48,-11.63,-7.68,-16.16,-13.36,8.08,19.2,-0.36,-1.12,-0.45,-0.88,-0.62,-0.41,-0.86,-0.71,154.25
Conventional,Sample watershed,SubArea,GWW_VFST,22,2003,2.58,2.43,2.55,-6.72,-20.4,-7.68,-15.2,-10.69,-8.4,-15.36,-13.06,7.76,20.2,-0.36,-1.09,-0.41,-0.81,-0.57,-0.45,-0.82,-0.7,129.86
Existing,Sample watershed,SubArea,GWW_VFST,22,2003,2.43,2.45,2.48,-6.79,-20,-7.76,-15.68,-10.93,-8.08,-16.16,-13.49,7.6,19.6,-0.36,-1.07,-0.41,-0.84,-0.58,-0.43,-0.86,-0.72,170.2
Conventional,Sample watershed,SubArea,GWW_VFST,22,2004,2.48,2.43,2.5,-6.79,-20,-8.08,-15.36,-10.99,-8,-15.2,-12.82,7.84,19,-0.36,-1.07,-0.43,-0.82,-0.59,-0.43,-0.81,-0.69,132.97
Existing,Sample watershed,SubArea,GWW_VFST,22,2004,2.58,2.43,2.38,-7.14,-21,-8.4,-16.16,-11.5,-8.24,-15.36,-13.01,8.08,19,-0.38,-1.12,-0.45,-0.86,-0.61,-0.44,-0.82,-0.7,162.72
Conventional,Sample watershed,SubArea,GWW_VFST,22,2005,2.5,2.4,2.48,-7.14,-21,-8,-15.52,-11.01,-8.08,-16.32,-13.6,8.24,21,-0.38,-1.12,-0.43,-0.83,-0.59,-0.43,-0.87,-0.73,132.3
Existing,Sample watershed,SubArea,GWW_VFST,22,2005,2.5,2.38,2.48,-7,-21,-7.68,-16,-11.01,-8.32,-16.16,-13.57,7.6,19.2,-0.37,-1.12,-0.41,-0.86,-0.59,-0.44,-0.86,-0.73,139.28
Conventional,Sample watershed,SubArea,GWW_VFST,22,2006,2.4,2.43,2.55,-6.93,-20.2,-7.92,-15.84,-11.09,-8.24,-15.36,-13.01,8.24,19.2,-0.37,-1.08,-0.42,-0.85,-0.59,-0.44,-0.82,-0.7,134.9
Existing,Sample watershed,SubArea,GWW_VFST,22,2006,2.58,2.53,2.53,-6.93,-20.4,-7.92,-15.68,-11.02,-8.4,-15.52,-13.17,8.08,20.8,-0.37,-1.09,-0.42,-0.84,-0.59,-0.45,-0.83,-0.7,154.86
Conventional,Sample watershed,SubArea,GWW_VFST,22,2007,2.38,2.48,2.48,-6.65,-19.8,-8.4,-16,-11.44,-8.24,-16,-13.44,8.24,20.2,-0.36,-1.06,-0.45,-0.86,-0.61,-0.44,-0.86,-0.72,143.66
Existing,Sample watershed,SubArea,GWW_VFST,22,2007,2.58,2.4,2.4,-6.72,-19.2,-8.4,-16.48,-11.63,-7.84,-15.36,-12.88,8.4,20.8,-0.36,-1.03,-0.45,-0.88,-0.62,-0.42,-0.82,-0.69,122.52
Conventional,Sample watershed,SubArea,GWW_VFST,22,2008,2.53,2.6,2.38,-7.14,-20.6,-7.76,-15.2,-10.74,-8.16,-15.68,-13.2,8.08,20.6,-0.38,-1.1,-0.41,-0.81,-0.57,-0.44,-0.84,-0.71,149.55
Existing,Sample watershed,SubArea,GWW_VFST,22,2008,2.4,2.6,2.58,-6.86,-20.8,-8.08,-15.84,-11.18,-8.32,-16.8,-14,8.32,19.4,-0.37,-1.11,-0.43,-0.85,-0.6,-0.44,-0.9,-0.75,131.71
Conventional,Sample watershed,SubArea,GWW_VFST,22,2009,2.4,2.6,2.63,-7.14,-19.6,-8.32,-15.68,-11.26,-8.24,-15.2,-12.9,8.16,19.4,-0.38,-1.05,-0.44,-0.84,-0.6,-0.44,-0.81,-0.69,128.27
Existing,Sample watershed,SubArea,GWW_VFST,22,2009,2.58,2.6,2.48,-7.14,-19.2,-8.08,-16.48,-11.44,-7.92,-16.8,-13.87,8.24,20.6,-0.38,-1.03,-0.43,-0.88,-0.61,-0.42,-0.9,-0.74,164.57
Conventional,Sample watershed,SubArea,GWW_VFST,22,2010,2.63,2.48,2.55,-6.79,-20.2,-8.08,-16,-11.25,-8.4,-16.8,-14.03,8.4,20.2,-0.36,-1.08,-0.43,-0.86,-0.6,-0.45,-0.9,-0.75,136.46
Existing,Sample watershed,SubArea,GWW_VFST,22,2010,2.5,2.53,2.43,-7.35,-19.2,-7.6,-15.52,-10.77,-8.08,-15.36,-12.96,7.76,20.4,-0.39,-1.03,-0.41,-0.83,-0.58,-0.43,-0.82,-0.69,112.19
Conventional,Sample watershed,SubArea,GWW_VFST,29,2001,2.45,2.5,2.5,-6.72,-20.6,-8.08,-15.68,-11.12,-7.68,-16.16,-13.36,7.84,21,-0.41,-1.25,-0.49,-0.95,-0.68,-0.47,-0.98,-0.81,139.71
Existing,Sample watershed,SubArea,GWW_VFST,29,2001,2.53,2.45,2.63,-6.86,-20.8,-8.08,-16,-11.25,-8.24,-15.36,-13.01,8.24,20.8,-0.42,-1.26,-0.49,-0.97,-0.68,-0.5,-0.93,-0.79,178.74
Conventional,Sample watershed,SubArea,GWW_VFST,29,2002,2.45,2.53,2.38,-7.07,-20.6,-7.76,-16,-11.06,-8.08,-16.64,-13.82,8.08,19,-0.43,-1.25,-0.47,-0.97,-0.67,-0.49,-1.01,-0.84,156.21
Existing,Sample watershed,SubArea,GWW_VFST,29,2002,2.6,2.48,2.48,-6.65,-19.6,-8.08,-16.16,-11.31,-8,-15.52,-13.04,7.76,20.4,-0.4,-1.19,-0.49,-0.98,-0.69,-0.49,-0.94,-0.79,179.13
Conventional,Sample watershed,SubArea,GWW_VFST,29,2003,2.38,2.6,2.45,-6.72,-19.2,-7.84,-15.2,-10.78,-7.6,-15.84,-13.12,7.68,19.6,-0.41,-1.17,-0.48,-0.92,-0.66,-0.46,-0.96,-0.8,143.57
Existing,Sample watershed,SubArea,GWW_VFST,29,2003,2.63,2.6,2.6,-6.86,-20.8,-8,-15.2,-10.88,-8.16,-16.8,-13.95,8,19.2,-0.42,-1.26,-0.49,-0.92,-0.66,-0.5,-1.02,-0.85,137.37
